City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
129,Faanui,PF,77.67,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
132,Bethel,US,78.64,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
138,Luganville,VU,82.29,few clouds,-15.5333,167.1667,The Espiritu Hotel
139,Bengkulu,ID,83.98,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
140,Sulangan,PH,85.57,moderate rain,11.1373,123.7228,Maia's Beach Resort
147,Tura,IN,83.28,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
150,Yenagoa,NG,71.82,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
155,Timizart,DZ,73.83,clear sky,36.8,4.2667,yefssah restaurant
159,Ribeira Grande,PT,72.16,few clouds,38.5167,-28.7,Quinta da Meia Eira
162,Sinnamary,GF,76.66,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
165,Biltine,TD,82.17,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
166,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
169,Cartagena,CO,78.94,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
170,Liliani,PK,79.9,overcast clouds,32.2065,72.9537,Umer Tea Stall
175,Acajutla,SV,80.04,broken clouds,13.5928,-89.8275,Laureles
178,Banjar,ID,87.66,broken clouds,-8.19,114.9675,The Hamsa Resort
179,Jaru,BR,71.11,clear sky,-10.4389,-62.4664,Hotel Paraná
180,Vila Do Maio,CV,75.69,overcast clouds,15.1333,-23.2167,Hotel Marilu
182,Itarema,BR,72.82,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
185,Tangjiazhuang,CN,85.44,few clouds,39.7333,118.45,Peace Hotel
186,Koumac,NC,81.01,scattered clouds,-20.5667,164.2833,Le Monitel
187,Shiozawa,JP,74.7,overcast clouds,37.0333,138.85,Hotel Sakadojo
190,Cockburn Town,TC,82.0,clear sky,21.4612,-71.1419,Osprey Beach Hotel
193,Omboue,GA,72.03,overcast clouds,-1.5746,9.2618,Hotel Olako
199,Odweyne,SO,70.38,overcast clouds,9.4092,45.064,Eng Hiirey House
202,Roebourne,AU,80.26,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
204,Baracoa,CU,80.62,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
205,Lagoa,PT,70.7,few clouds,39.05,-27.9833,Casa Das Faias
206,Salalah,OM,77.09,haze,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
207,Abha,SA,70.05,overcast clouds,18.2164,42.5053,Abha Hotel
208,Mongo,TD,75.7,broken clouds,12.1844,18.693,Résidences du Programme FIDA
211,Carutapera,BR,74.48,scattered clouds,-1.195,-46.02,Lidera
212,Inirida,CO,72.03,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
213,Kavaratti,IN,80.87,overcast clouds,10.5669,72.642,Green leaf
225,Urumqi,CN,85.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
226,Angoche,MZ,70.43,clear sky,-16.2325,39.9086,Guest House HESADA
230,Washougal,US,78.66,clear sky,45.5826,-122.3534,Camas Boutique Hotel
231,Roma,US,79.88,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
232,Crotone,IT,77.2,clear sky,39.0851,17.1178,Helios Hotel
233,Kaminokawa,JP,81.9,overcast clouds,36.4333,139.9167,Taki
234,Naze,JP,84.54,broken clouds,28.3667,129.4833,Shishime Hotel
237,Kaitong,CN,86.56,overcast clouds,44.8135,123.15,Jinhe Fashion Hotel
238,Meulaboh,ID,84.79,overcast clouds,4.1363,96.1285,Kost Pria
239,Marawi,PH,79.21,broken clouds,7.9986,124.2928,Derogongan Residence
241,Lazaro Cardenas,MX,79.97,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
242,Alofi,NU,76.37,clear sky,-19.0595,-169.9187,Taloa Heights
