City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,Berdychiv,49.8993,28.6024,49.33,95,7,8.59,UA,2022-07-18 01:28:04
155,Nelson Bay,-32.7167,152.15,62.11,56,0,15.99,AU,2022-07-18 01:28:05
156,Tura,25.5198,90.2201,78.49,86,47,4.88,IN,2022-07-18 01:28:05
157,Vardo,70.3705,31.1107,51.78,100,100,5.75,NO,2022-07-18 01:28:06
158,Yancheng,33.3856,120.1253,77.68,92,100,10.47,CN,2022-07-18 01:28:06
159,Malanje,-9.5402,16.341,63.28,46,38,3.67,AO,2022-07-18 01:28:07
160,Brokopondo,4.75,-55.1667,79.97,80,100,9.28,SR,2022-07-18 01:28:07
161,East London,-33.0153,27.9116,66.78,32,0,7.07,ZA,2022-07-18 01:28:08
162,Thompson,55.7435,-97.8558,73.56,56,75,11.5,CA,2022-07-18 01:28:08
163,Te Anau,-45.4167,167.7167,51.84,90,100,10.11,NZ,2022-07-18 01:28:09
164,Tiksi,71.6872,128.8694,39.24,70,100,7.16,RU,2022-07-18 01:28:09
165,Knysna,-34.0363,23.0471,58.96,82,0,0.76,ZA,2022-07-18 01:26:37
166,Camocim,-2.9022,-40.8411,79.25,78,1,15.7,BR,2022-07-18 01:28:10
167,Ribeira Grande,38.5167,-28.7,71.67,93,5,6.11,PT,2022-07-18 01:28:10
168,Jinxi,30.4323,116.2922,87.06,73,56,0.92,CN,2022-07-18 01:28:10
169,Tomelloso,39.1522,-3.0243,77.52,31,0,8.41,ES,2022-07-18 01:28:11
170,Saskylakh,71.9167,114.0833,53.71,42,100,10.8,RU,2022-07-18 01:28:11
171,Pedernales,18.0384,-71.744,81.37,75,5,12.24,DO,2022-07-18 01:28:12
172,Abu Samrah,35.3029,37.1841,73.47,64,0,7.58,SY,2022-07-18 01:28:12
173,Mahibadhoo,3.7833,72.9667,79.54,81,100,12.75,MV,2022-07-18 01:28:12
174,Maceio,-9.6658,-35.7353,72.84,88,20,2.3,BR,2022-07-18 01:23:46
175,Honiara,-9.4333,159.95,88.57,49,13,10.18,SB,2022-07-18 01:28:13
176,Copiapo,-27.3667,-70.3333,47.89,35,0,0.63,CL,2022-07-18 01:28:13
177,La Plaine,15.3333,-61.25,80.24,80,74,14.7,DM,2022-07-18 01:28:14
178,San Patricio,28.017,-97.5169,87.66,62,58,13.44,US,2022-07-18 01:28:14
179,Nizhniy Kuranakh,58.8353,125.4869,80.11,57,67,4.12,RU,2022-07-18 01:28:14
180,Praia,14.9215,-23.5087,75.74,69,20,11.5,CV,2022-07-18 01:28:15
181,Pearl,32.2746,-90.132,84.34,76,20,6.91,US,2022-07-18 01:28:15
182,Windhoek,-22.5594,17.0832,52.0,43,0,2.3,NA,2022-07-18 01:24:58
183,Impfondo,1.6381,18.0667,70.92,96,100,5.5,CG,2022-07-18 01:28:16
184,Batman,37.8874,41.1322,67.8,60,0,3.44,TR,2022-07-18 01:29:17
185,Lasem,-6.6922,111.4527,78.82,78,16,8.46,ID,2022-07-18 01:29:17
186,Mar Del Plata,-38.0023,-57.5575,53.1,52,0,13.8,AR,2022-07-18 01:29:18
187,Castro,-24.7911,-50.0119,60.06,97,100,4.12,BR,2022-07-18 01:29:18
188,Tomatlan,19.9333,-105.25,77.34,91,100,0.6,MX,2022-07-18 01:29:18
189,Tirumullaivasal,11.2333,79.8333,81.03,72,100,8.66,IN,2022-07-18 01:29:19
190,Arraial Do Cabo,-22.9661,-42.0278,71.1,90,5,14.61,BR,2022-07-18 01:28:29
191,Puerto Ayora,-0.7393,-90.3518,68.56,89,74,5.01,EC,2022-07-18 01:29:19
192,Yellowknife,62.456,-114.3525,66.72,77,75,0.0,CA,2022-07-18 01:26:25
193,Villa Rica,33.7321,-84.9191,84.94,84,98,3.36,US,2022-07-18 01:28:48
194,Kieta,-6.2167,155.6333,85.75,62,9,7.25,PG,2022-07-18 01:29:20
195,Florin,38.496,-121.4088,105.46,19,0,12.66,US,2022-07-18 01:29:21
196,Naze,28.3667,129.4833,79.72,87,100,18.28,JP,2022-07-18 01:29:21
197,Lavrentiya,65.5833,-171.0,34.12,89,100,27.58,RU,2022-07-18 01:26:42
198,Isangel,-19.55,169.2667,80.71,78,75,2.3,VU,2022-07-18 01:29:22
199,Fairbanks,64.8378,-147.7164,67.96,66,75,10.36,US,2022-07-18 01:27:13
200,Port Elizabeth,-33.918,25.5701,64.31,89,0,10.36,ZA,2022-07-18 01:29:22
